original_name,detected_extension,matched_reference,normalized_reference,match_method,image_key,renamed_file,csv_path
5260.  #3,.jpg,5260,5260,prefixe-plus-long,5260,5260-003.jpg,backend/uploads/products/5260-003.jpg
5260.  #4,.jpg,5260,5260,prefixe-plus-long,5260,5260-004.jpg,backend/uploads/products/5260-004.jpg
55161_40.  #1,.jpg,55161,55161,prefixe-plus-long,5516140,55161-001.jpg,backend/uploads/products/55161-001.jpg
55161_40.  #2,.jpg,55161,55161,prefixe-plus-long,5516140,55161-002.jpg,backend/uploads/products/55161-002.jpg
55161_40.  #3,.jpg,55161,55161,prefixe-plus-long,5516140,55161-003.jpg,backend/uploads/products/55161-003.jpg
55161_40.  #4,.jpg,55161,55161,prefixe-plus-long,5516140,55161-004.jpg,backend/uploads/products/55161-004.jpg
55161_50. #1,.jpg,55161,55161,prefixe-plus-long,5516150,55161-005.jpg,backend/uploads/products/55161-005.jpg
55161_50. #2,.jpg,55161,55161,prefixe-plus-long,5516150,55161-006.jpg,backend/uploads/products/55161-006.jpg
55161_50. #3,.jpg,55161,55161,prefixe-plus-long,5516150,55161-007.jpg,backend/uploads/products/55161-007.jpg
55161_50. #4,.jpg,55161,55161,prefixe-plus-long,5516150,55161-008.jpg,backend/uploads/products/55161-008.jpg
55161_60.  #1,.jpg,55161,55161,prefixe-plus-long,5516160,55161-009.jpg,backend/uploads/products/55161-009.jpg
55161_60.  #2,.jpg,55161,55161,prefixe-plus-long,5516160,55161-010.jpg,backend/uploads/products/55161-010.jpg
55161_60.  #3,.jpg,55161,55161,prefixe-plus-long,5516160,55161-011.jpg,backend/uploads/products/55161-011.jpg
55161_60.  #4,.jpg,55161,55161,prefixe-plus-long,5516160,55161-012.jpg,backend/uploads/products/55161-012.jpg
5584.  #1,.png,5584,5584,prefixe-plus-long,5584,5584-001.png,backend/uploads/products/5584-001.png
5584.  #2,.jpg,5584,5584,prefixe-plus-long,5584,5584-002.jpg,backend/uploads/products/5584-002.jpg
5584.  #3,.jpg,5584,5584,prefixe-plus-long,5584,5584-003.jpg,backend/uploads/products/5584-003.jpg
5584.  #4,.jpg,5584,5584,prefixe-plus-long,5584,5584-004.jpg,backend/uploads/products/5584-004.jpg
