original_name,detected_extension,image_key,reason
4444.png,.png,4444,aucune
5021_50.  #1,.png,502150,aucune
5021_50.  #2,.png,502150,aucune
5021_50.  #3,.png,502150,aucune
5021_50.  #4,.png,502150,aucune
555.jpg,.jpg,555,aucune
5585.  #1,.jpg,5585,aucune
5585. #2,.jpg,5585,aucune
5585. #3,.jpg,5585,aucune
5585. #4,.jpg,5585,aucune
589 B.  #1,.png,589b,aucune
589 B.  #2,.png,589b,aucune
589 B.  #3,.png,589b,aucune
589 B.  #4,.png,589b,aucune
589 f.   #1,.png,589f,aucune
589 f.   #2,.png,589f,aucune
589 f.   #3,.png,589f,aucune
589 f.   #4,.png,589f,aucune
6100.png,.png,6100,aucune
7001.   #1,.png,7001,aucune
7001.   #2,.png,7001,aucune
7001.   #3,.png,7001,aucune
7001.   #4,.png,7001,aucune
7029.jpg,.jpg,7029,aucune
7317_18.jpg,.jpg,731718,aucune
7326.jpg,.jpg,7326,aucune
7415_16_17(1).jpg,.jpg,741516171,aucune
7415_16_17.jpg,.jpg,74151617,aucune
7427_28_29.jpg,.jpg,74272829,aucune
7432.jpg,.jpg,7432,aucune
7453.jpg,.jpg,7453,aucune
7461_62.jpg,.jpg,746162,aucune
7495.png,.png,7495,aucune
788 6 chaises.png,.png,7886chaises,aucune
8021.png,.png,8021,aucune
8042.png,.png,8042,aucune
8046.jpg,.jpg,8046,aucune
8052.jpg,.jpg,8052,aucune
8059_2-1-2.jpg,.jpg,8059212,aucune
8060 (black).png,.png,8060black,aucune
8060 (green).png,.png,8060green,aucune
8060 (white).png,.png,8060white,aucune
8071 (black).png,.png,8071black,aucune
8076. (Pink).png,.png,8076pink,aucune
8076. (Yellow).png,.png,8076yellow,aucune
8077(1).jpg,.jpg,80771,aucune
8077.jpg,.jpg,8077,aucune
8082 (green).png,.png,8082green,aucune
8082 (orange).jpg,.jpg,8082orange,aucune
8082 (white).jpg,.jpg,8082white,aucune
8083 (black).jpg,.jpg,8083black,aucune
8083 (green).jpg,.jpg,8083green,aucune
8083 (orange).png,.png,8083orange,aucune
8083.png,.png,8083,aucune
8085.png,.png,8085,aucune
8094_3-1-2-3.jpg,.jpg,80943123,aucune
8101.   #1,.jpg,8101,aucune
8101.   #2,.jpg,8101,aucune
8101.   #3,.jpg,8101,aucune
8101.   #4,.jpg,8101,aucune
8102.jpg,.jpg,8102,aucune
81025 #1.png,.png,81025,aucune
81025 #2.png,.png,81025,aucune
81025 #3.png,.png,81025,aucune
81025 #4.png,.png,81025,aucune
8103.   #1,.jpg,8103,aucune
8103.   #2,.jpg,8103,aucune
8103.   #3,.jpg,8103,aucune
8103.   #4,.jpg,8103,aucune
8105.jpg,.jpg,8105,aucune
8106.jpg,.jpg,8106,aucune
8107.png,.png,8107,aucune
8109.png,.png,8109,aucune
8110.png,.png,8110,aucune
8111.png,.png,8111,aucune
8112.png,.png,8112,aucune
8116.jpg,.jpg,8116,aucune
8120.jpg,.jpg,8120,aucune
8125.jpg,.jpg,8125,aucune
8131_3-1-2-3.jpg,.jpg,81313123,aucune
8133.jpg,.jpg,8133,aucune
